216 648
1 37 -0.9870251254928698
1 181 -0.624382919910503
1 7 -0.2056813421383137
1 31 0.8695907925427273
1 2 -0.7017925938746147
1 6 -0.7290319948389729
37 73 0.09732272297226449
37 43 -0.5766404699199159
37 67 -1.1058502360016391
37 38 0.7152780370545276
37 42 1.2046224670358223
181 145 0.9017603033131188
181 187 -1.2816796224448384
181 211 -0.9351254675785987
181 182 -0.48222809933376093
181 186 -0.22123132847434837
7 43 -0.3121327823471261
7 187 -1.2164949181082718
7 13 0.37597079563708197
7 8 -1.8927782192321376
7 12 -0.38387545098384507
31 25 0.13018443118275883
31 67 -1.1172192634373288
31 211 -0.7336036444994126
31 32 -0.35367288057491275
31 36 -1.037633236747109
2 38 -0.3114361989662089
2 182 -0.5294769911032934
2 8 -0.4982200238857086
2 32 1.3963369306668156
2 3 1.058151220447625
6 5 0.59074746648029
6 42 -2.7260318195016433
6 186 -0.5189977725015941
6 12 1.5680625545943072
6 36 0.6351387081211444
38 74 0.45201640698655365
38 44 0.2825833392121026
38 68 -1.8379838049511443
38 39 -0.4915721104334434
182 146 -0.4945583115324432
182 188 -0.05914213414665232
182 212 1.4944020178741768
182 183 -0.2949280710993314
8 44 -0.7567466591770962
8 188 0.11880432067010528
8 14 0.19717765086013023
8 9 -0.3360323808322515
32 26 -0.5324476190947294
32 68 0.66247167382614
32 212 -0.19808598914845854
32 33 1.5346552990942721
3 39 0.2465788130385395
3 183 0.4006021385584573
3 9 0.24525645890923362
3 33 0.23232238934457317
3 4 1.4822974070666424
39 75 0.8414800201204983
39 45 0.26223266248591315
39 69 -0.7365423079682828
39 40 2.1248407258794146
183 147 0.45369580485449407
183 189 -0.38961548008392044
183 213 0.21949867238215384
183 184 0.7798501844585892
9 45 1.3091144116096987
9 189 0.8035721803123314
9 15 -0.6296815941261582
9 10 -0.2726901118661214
33 27 0.10541558227022951
33 69 -0.2317981278180245
33 213 -0.5505726626216384
33 34 0.6662052511123508
4 40 0.13496582994445228
4 184 -0.2070603675298492
4 10 -0.5825677074085018
4 34 -0.057730190676696144
4 5 -1.2835419768006233
40 76 0.33157543005180246
40 46 1.5089731903143722
40 70 0.9731434591232992
40 41 -0.33904703469750197
